id,nombre,descripcion,precio,precio_oferta,disponibilidad,cantidad_disponible,enlace_producto,estado
23,Calza dama 3 líneas,Calza dama 3 líneas,7990,6990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
24,Pijama entero peluche,Pijama entero peluche,17900,16900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
25,Conjunto encaje dama,Conjunto encaje dama,5990,4990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
26,Camiseta nena 3D gliters,Camiseta nena 3D gliters,5990,4990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
44,Buzo espalda estampa adulto,,15000,14000,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
45,Buzo looney kids del 4 al 16,,15900,14900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
46,Camiseta dama Stampin del 1 al 5,,6900,5900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
47,Catsuit batik push up del S al XXL,,15990,14990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
48,Joggins depo termico hombre del 1 al 5,,10990,9900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
49,Camiseta bicolor dama,,5990,4990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
50,Buzo corderito kids del 4 al 16,,10500,9500,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
51,Jogger cargo friza dama del 1 al 5,,10500,9500,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
52,Boxxer niño grafiti del 4 al 16,,3500,2500,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
53,Pantalón premiun 2linea kids del 4 al 16 frizado,,10200,9200,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
54,Muscu top set dama,,4990,3990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
55,Gorras adulto FLU Ajustables,,7990,6990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
56,Buzo bordado talle especial del 6 al 12,,18900,17900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
57,Jogger linea frizado niño del 4 al 16,,9990,8990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
58,Chomba depo hombre del S al XXL,,9990,8990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
59,Remera set hombre del 1 al 5 +,,5990,4990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
60,Camiseta mabel talle especial del 6 al 10,,7900,6900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
61,Jogger hombre bicolor del 1 al 5 frizados,,13990,12990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
62,Dama talle único abarca a un 4,,11990,10990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
63,Calza nena modal del 4 al 16,,2990,1990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
64,Medias amanecer 3/4,Por docena,12000,12000,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
65,Jeans talle especial de dama del 48 al 56,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
66,Conjunto niño 32 rústico del 4 al 16 extra pre...,,11900,10900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
67,Buzo Kids rústico del 4 al 16,,8990,7990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
68,Wide rústico recorte print niña del 4 al 16,,6900,5900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
69,Campera hombre del S al XXL,,20990,19990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
70,Calza niña lycra del 4 al 16,,4990,3990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
71,Conjunto kids Chomba del 4 al 16 extra premi...,,11900,10900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
72,Jeans mom dama del 36 al 46,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
73,Calza negra frizada lisa niña del 4 al 16,,4990,3990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
74,Ruana extra premium,,8900,7900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
75,Camiseta 3D nene del 4 al 16,,5990,4990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
76,Wide adidama del 1 al 5,lycra,13990,12990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
77,Pasamontañas personaje,,10990,9990,disponible,,https://wa.me/p/9871604656242371/5491155604271,activo
78,Chaleco engomado kids del 4 al 16,,12990,11990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
79,Jardinero jeans niña del 4 al 16,,15990,14990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
80,Cuellito piel kids,,4990,3990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
81,Camiseta cuello cuadro dama,,7990,6990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
82,Camiseta niño del 4 al 16,,4990,3990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
83,Remeron batik adulto unisex del 1 al 6,,7990,6990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
84,Riñoneras aplique kids,,8990,7990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
85,Bandoleras,,8990,7990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
86,Buzo colores adulto unisex del 1 al 6,,11990,10990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
87,Gorro personaje niños,,6990,5990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
88,Remera rayada dama,,5990,4990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
89,Campera oveja kids del 4 al 16,,15900,14900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
90,Wide niña jeans stich del 4 al 16,,15990,14990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
91,Gorras teddy ajustable adulto,,8990,7990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
92,Buzo 3D batik surt hombre frizado del 1 al 5,,19900,18900,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
93,Boddy Glamour del s al xxl,,5990,4990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
94,Sweters wafle hombre del 1 al 5,,9990,8990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
95,Chaleco ecocuero del xs al xl,,17990,16990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
96,Mom dama talle especial 48 al 60,,19000,18000,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
97,Gorros kids,,6990,5990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
98,Remera talle especial hombre del 6 al 9 +,,8990,7990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
99,Maxi Chic dama,,13990,12990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
100,Sweters ovalo dama abarca a un 4/5,,9990,8990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
101,Toallas kids,,6500,5990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
102,Pupera strass dama,,6990,5990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
103,Pantalón peludo del 1 al 5 adulto,,11990,10990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
104,Campera wafle del 1 al 5 hombre,,11990,10990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
105,Remeron kids del 4 al 16 doble estampa,,6990,5990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
106,Súper Max palazo dama,,15990,14990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
107,Conjunto plush del 4 al 16,,10990,9900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
108,Buzo pintitas del 4 al 16 kids,,9500,8500,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
109,Remera aplique dama,,9990,8990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
110,Campera niña rústica del 4 al 16,,13900,12900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
111,Blazer sofi talle especial dama,,17900,16900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
112,Boxxer adulto del m al xxxl,,3500,2500,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
113,Camiseta dama surtidas 2 al 7,,7990,6990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
114,Gorra niño subli verano**,,5900,4900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
115,Remera strass nena del 4 al 16,,5990,4990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
116,Pijama CORA dama del S al XXL,,8500,7500,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
117,Mini toalla,,1990,990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
118,Pilusos orejitas kids,,5900,4900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
119,Pantalón peludo kids del 4 al 16,,7990,6990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
120,Campera peluda capi/stich del 4 al 16,,11990,11990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
121,Maxi palazo 3 lineas del 1 al 5,,15990,14990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
122,Conjunto RUN dama del S al XL depo,,37000,35000,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
123,Conjunto aplique kids del 4 al 16,,15990,14990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
124,Buzo Chetto hombre frizado del 1 al 5*,,10990,9990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
125,Jeans elastizado clasic chupin del 36 al 46,,9990,8990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
126,Buzo hombre del 1 al 5 bordado frisados,,19900,18900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
127,Buzo tenden kids del 4 al 16 nena,,8900,7900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
128,Buzo amor propio dama,,11900,10900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
129,Swetters calado dama premiun,gasta un 5,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
130,Gorros bordados,,5990,4990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
131,Joggins piel dentro kids broston del 4 al 16,,8990,7990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
132,Joggins darlon kids del 4 al 16,,8990,7990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
133,Maxipalazo batik del 1 al 5*,,12900,11900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
134,Jogger térmico talle especial del 7 al 12,,15900,14900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
135,Buzo chetto-capucha del 1 al 5 doble estampa,,12990,11000,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
136,Maxi chaleco puff nena del 4 al 16,,17990,16990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
137,Mochi peluda kids,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
138,Chaleco ecocuero dama del xs al xl,,17900,16900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
139,Pantutias adulto del 35 al 40,,9990,8990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
140,Buzo smile kids del 4 al 16 frizado,,8990,7990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
141,Remera raya talle especial dama 6 al 10,,8500,7500,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
142,Gorras adulto ajustables,,8990,7990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
143,Biker dama lycra del 1 al 6 super calze,,4490,3490,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
144,Remera set deportivo dama del 1 al 5,,4990,3990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
145,Wide jeans canche niña del 4 al 16,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
146,Buzo cierre termico adulto del 1 al 5*,,11990,10990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
147,Wide darlon lineas del 1 al 5,,13990,12990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
148,Remera relieve kids del 4 al 16,Algodón peinado Limpieza de cuello,4500,3500,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
149,Conjunto depo dama S-M-L,,17900,16900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
150,Mochilas amplias,,12990,11990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
151,Jeans hombre elastizado del 36 al 50,,12990,11990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
152,Jogger mom hombre del 36 al 48,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
153,Set 3 piezas del S al XL dama,,7990,6990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
154,Bóxer hombre talle especial 6 al 9,,4500,3500,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
155,Remeron flow adulto unisex variedad de es...,,7990,6990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
156,Corset engomado abarca a un 4,,11990,10990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
157,Conjunto bebé subli-ketten del 1 al 5,,11990,10990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
158,Buzo oso Shine adulto del 1 al 5,,13990,12990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
159,Campera friza lisa del 1 al 5,,13990,12990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
160,Buzo estampa 3D niño del 4 al 16,,8990,7990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
161,Buzo amor dama del 2 al 5,,13990,12990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
162,Jumper dama modal del 2 al 5,,13990,12990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
163,Buzo darlon hombre del 1 al 5,,12900,11900,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
164,Toallones eco,,6990,5990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
165,Gorro kids,,5990,4990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
166,Campera Unisex adulto del S al XXL,,20990,19990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
167,Medias futbol hombre,,4990,3990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
168,Remeron óxido adulto,,9900,8900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
169,Remera dama 01,,5900,4900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
170,Conjunto ganador kids del 4 al 16,,11990,10990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
171,Buzo sofi rústico aplique abarca a un 5/6,,13900,12900,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
172,Buzito polera WAN talle 1-2-3 dama,,9900,8900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
173,Corpi tipo Corset glamour del 85 al 100,,6900,5900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
174,Remera over florsi kids del 4 al 16,,6990,5990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
175,Reme mabel del 4 al 8 raya,,5900,4900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
176,Toallon secado rápido,,8900,7900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
177,Conjunto brilli kids del 4 al 16,,15990,14990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
178,Palazo dos tiras sastrero del 1 al 5,,14900,13900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
179,Conjunto dama plush del 1 al 5,,24000,23000,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
180,Guantes kids River/boca,,4990,3990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
181,Buzo Stich-pupe abarca a un 4,,15990,14990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
182,Wide capibara niña del 4 al 16,,15990,14990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
183,Conjunto depo Gota del S al XI,,17900,16900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
184,Camiseta batik kids del 4 al 16,,6990,5990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
185,Jogger cargo talle especial hombre del 48 al 56,,17990,16990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
186,Baggy jeans niño del 4 al 18,,15990,14990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
187,Conjunto futbol kids del 4 al 16 de set,,7900,6900,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
188,Corset dama del 85 al 100,,9900,8900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
189,Wide jeans strass dama del 36 al 46,,21980,20990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
190,Catsuit faja push up del M al XL,,11900,10900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
191,Bermuda corta hombre rústico del 1 al 6*,,9900,8900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
192,Wide Hawai niña del 4 al 16,,7900,6900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
193,Campera rústica print del 4 al 16 niña,,7900,6900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
194,Conjunto adulto flor set kids del 4 al 16,,7900,6900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
195,Toallon kids,,5500,4500,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
196,Jeans talle especial strass dama del 48 al 56,,18990,17990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
197,Body ABC dama del mal xxl (va como ma...,,7900,6900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
198,Conjunto futbol kids del 4 al 16 de set,,7900,6900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
199,Corset dama del 85 al 100,,9900,8900,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
200,Wide jeans strass dama del 36 al 46,,21980,20990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
201,Catsuit faja push up del M al XL,,11900,10900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
202,Bermuda corta hombre rústico del 1 al 6*,,9900,8900,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
203,Wide Hawai niña del 4 al 16,,7900,6900,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
204,Campera rústica print del 4 al 16 niña,,7900,6900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
205,Conjunto adulto flor set kids del 4 al 16,,7900,6900,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
206,Toallon kids,,5500,4500,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
207,Jeans talle especial strass dama del 48 al 56,,18990,17990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
208,Body ABC dama del mal xxl (va como ma...,,7900,6900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
